p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.08   0.008  BASICTOOL     -1.0          1.0           0.0           0.896         0.387         0.001         0.923         0.328         0.001         0.97          0.059         0.0           39418.0       0.0           
0.09   0.008  BASICTOOL     -1.0          1.0           0.0           0.872         0.583         0.001         0.903         0.502         0.001         0.967         0.081         0.001         39648.0       0.0           
0.1    0.008  BASICTOOL     -1.0          1.0           0.0           0.832         0.834         0.001         0.876         0.675         0.001         0.951         0.159         0.001         40436.0       0.0           
-1     0.009000000000000001SCOPA         -1.0          1.0           0.0           0.948         0.087         0.003         0.972         0.137         0.006         0.975         -0.05         0.0           46257.0       0.0           
0.0    0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.838         -1.808        0.006         0.915         -0.899        0.005         0.913         -0.909        0.005         35758.0       0.0           
0.01   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.838         -1.808        0.006         0.915         -0.899        0.005         0.913         -0.909        0.005         35758.0       0.0           
0.02   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.884         -1.011        0.004         0.94          -0.496        0.003         0.937         -0.515        0.003         35758.0       0.0           
0.03   0.009000000000000001BASICTOOL     -1.0          1.0           -1.0          0.919         -0.437        0.002         0.96          -0.214        0.002         0.957         -0.222        0.002         35859.0       0.0           
0.04   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.945         -0.131        0.001         0.968         -0.047        0.001         0.976         -0.084        0.001         37118.0       0.0           
0.05   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.947         -0.059        0.0           0.967         0.002         0.0           0.979         -0.061        0.0           39304.0       0.0           
0.06   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.935         0.061         0.0           0.957         0.083         0.0           0.977         -0.022        0.0           39305.0       0.0           
0.07   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.91          0.232         0.001         0.936         0.213         0.001         0.972         0.019         0.0           39314.0       0.0           
0.08   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.892         0.371         0.001         0.921         0.321         0.001         0.968         0.05          0.0           39365.0       0.0           
0.09   0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.869         0.567         0.001         0.901         0.493         0.001         0.965         0.074         0.0           39604.0       0.0           
0.1    0.009000000000000001BASICTOOL     -1.0          1.0           0.0           0.83          0.814         0.001         0.874         0.663         0.001         0.95          0.151         0.001         40411.0       0.0           
-1     0.01   SCOPA         -1.0          1.0           0.0           0.944         0.078         0.003         0.97          0.132         0.006         0.973         -0.054        0.0           46173.0       0.0           
0.0    0.01   BASICTOOL     -1.0          1.0           -1.0          0.821         -2.017        0.006         0.906         -0.986        0.005         0.903         -1.032        0.005         35435.0       0.0           
0.01   0.01   BASICTOOL     -1.0          1.0           -1.0          0.821         -2.017        0.006         0.906         -0.986        0.005         0.903         -1.032        0.005         35435.0       0.0           
0.02   0.01   BASICTOOL     -1.0          1.0           -1.0          0.871         -1.148        0.004         0.932         -0.557        0.003         0.93          -0.591        0.004         35435.0       0.0           
0.03   0.01   BASICTOOL     -1.0          1.0           -1.0          0.91          -0.5          0.002         0.954         -0.247        0.002         0.953         -0.253        0.002         35529.0       0.0           
0.04   0.01   BASICTOOL     -1.0          1.0           -1.0          0.94          -0.155        0.001         0.965         -0.055        0.001         0.973         -0.1          0.001         36885.0       0.0           
0.05   0.01   BASICTOOL     -1.0          1.0           0.0           0.943         -0.074        0.0           0.964         -0.007        0.0           0.977         -0.066        0.001         39243.0       0.0           
0.06   0.01   BASICTOOL     -1.0          1.0           0.0           0.933         0.046         0.0           0.955         0.073         0.0           0.976         -0.027        0.0           39245.0       0.0           
0.07   0.01   BASICTOOL     -1.0          1.0           0.0           0.909         0.214         0.001         0.935         0.198         0.001         0.971         0.016         0.0           39261.0       0.0           
0.08   0.01   BASICTOOL     -1.0          1.0           0.0           0.89          0.354         0.001         0.92          0.305         0.001         0.967         0.049         0.0           39329.0       0.0           
0.09   0.01   BASICTOOL     -1.0          1.0           0.0           0.867         0.553         0.001         0.9           0.48          0.001         0.964         0.073         0.0           39582.0       0.0           
0.1    0.01   BASICTOOL     -1.0          1.0           0.0           0.829         0.792         0.001         0.874         0.642         0.001         0.949         0.15          0.001         40365.0       0.0           
-1     0.011  SCOPA         -1.0          1.0           0.0           0.938         0.067         0.003         0.967         0.126         0.005         0.97          -0.059        0.0           46246.0       0.0           
0.0    0.011  BASICTOOL     -1.0          1.0           -1.0          0.805         -2.166        0.006         0.899         -1.04         0.005         0.895         -1.126        0.005         35005.0       0.0           
0.01   0.011  BASICTOOL     -1.0          1.0           -1.0          0.805         -2.166        0.006         0.899         -1.04         0.005         0.895         -1.126        0.005         35005.0       0.0           
0.02   0.011  BASICTOOL     -1.0          1.0           -1.0          0.858         -1.273        0.004         0.925         -0.613        0.003         0.924         -0.66         0.004         35005.0       0.0           
0.03   0.011  BASICTOOL     -1.0          1.0           -1.0          0.9           -0.577        0.002         0.948         -0.289        0.002         0.949         -0.288        0.002         35089.0       0.0           
0.04   0.011  BASICTOOL     -1.0          1.0           0.0           0.934         -0.192        0.001         0.962         -0.075        0.001         0.97          -0.117        0.001         36533.0       0.0           
0.05   0.011  BASICTOOL     -1.0          1.0           0.0           0.937         -0.107        0.001         0.962         -0.025        0.001         0.974         -0.082        0.001         39129.0       0.0           
0.06   0.011  BASICTOOL     -1.0          1.0           0.0           0.928         0.025         0.0           0.953         0.061         0.0           0.973         -0.036        0.0           39130.0       0.0           
0.07   0.011  BASICTOOL     -1.0          1.0           0.0           0.905         0.195         0.0           0.934         0.186         0.001         0.968         0.009         0.0           39151.0       0.0           
0.08   0.011  BASICTOOL     -1.0          1.0           0.0           0.888         0.335         0.001         0.92          0.291         0.001         0.966         0.044         0.0           39250.0       0.0           
0.09   0.011  BASICTOOL     -1.0          1.0           0.0           0.866         0.533         0.001         0.9           0.467         0.001         0.962         0.066         0.0           39504.0       0.0           
0.1    0.011  BASICTOOL     -1.0          1.0           0.0           0.828         0.773         0.001         0.874         0.634         0.001         0.948         0.139         0.001         40318.0       0.0           
-1     0.012  SCOPA         -1.0          1.0           0.0           0.935         0.055         0.003         0.965         0.12          0.005         0.968         -0.065        0.0           45917.0       0.0           
0.0    0.012  BASICTOOL     -1.0          1.0           0.0           0.79          -2.372        0.006         0.889         -1.178        0.005         0.888         -1.193        0.005         34616.0       0.0           
0.01   0.012  BASICTOOL     -1.0          1.0           0.0           0.79          -2.372        0.006         0.889         -1.178        0.005         0.888         -1.193        0.005         34616.0       0.0           
0.02   0.012  BASICTOOL     -1.0          1.0           0.0           0.847         -1.421        0.005         0.92          -0.696        0.004         0.916         -0.725        0.004         34616.0       0.0           
0.03   0.012  BASICTOOL     -1.0          1.0           0.0           0.89          -0.66         0.002         0.944         -0.324        0.002         0.942         -0.336        0.002         34725.0       0.0           
0.04   0.012  BASICTOOL     -1.0          1.0           0.0           0.93          -0.228        0.001         0.961         -0.095        0.001         0.967         -0.133        0.001         36301.0       0.0           
0.05   0.012  BASICTOOL     -1.0          1.0           0.0           0.932         -0.128        0.001         0.96          -0.034        0.001         0.97          -0.093        0.001         39069.0       0.0           
0.06   0.012  BASICTOOL     -1.0          1.0           0.0           0.923         0.007         0.0           0.95          0.056         0.0           0.971         -0.048        0.0           39070.0       0.0           
0.07   0.012  BASICTOOL     -1.0          1.0           0.0           0.901         0.178         0.0           0.932         0.18          0.001         0.966         -0.002        0.0           39082.0       0.0           
0.08   0.012  BASICTOOL     -1.0          1.0           0.0           0.886         0.323         0.001         0.919         0.287         0.001         0.964         0.037         0.0           39189.0       0.0           
0.09   0.012  BASICTOOL     -1.0          1.0           0.0           0.865         0.509         0.001         0.901         0.447         0.001         0.961         0.062         0.0           39485.0       0.0           
0.1    0.012  BASICTOOL     -1.0          1.0           0.0           0.828         0.744         0.001         0.875         0.609         0.001         0.946         0.136         0.001         40294.0       0.0           
-1     0.013000000000000001SCOPA         -1.0          1.0           0.0           0.93          0.052         0.003         0.962         0.116         0.005         0.968         -0.064        0.0           45779.0       0.0           
